SITE NAME,COUNTRY,LAT,LON,BEARING,independent_intersection_lat,d_I (current),d_II,d_III,d_IV,d_V,d_min_5pole,nearest_pole_5pole,d_min_6pole,nearest_pole_6pole
Pyramids of Cochasqui,Ecuador,0.0546,-78.306,25.0,48.03352380065867,41.96647619934133,27.96647619934133,24.166476199341332,16.066476199341324,4.2664761993413265,4.2664761993413265,V,4.2664761993413265,V
Caral,Peru,-10.89125,-77.53235,22.0,48.004203247926895,41.995796752073105,27.995796752073105,24.195796752073107,16.0957967520731,4.295796752073102,4.295796752073102,V,4.295796752073102,V
Caral,Peru,-10.8935,-77.5204,22.0,47.99139883598403,42.00860116401597,28.00860116401597,24.208601164015974,16.108601164015965,4.308601164015968,4.308601164015968,V,4.308601164015968,V
Temples of Bagan (small cluster),Myanmar,21.1823,94.878,-25.0,48.01960684150256,41.98039315849744,27.980393158497442,24.180393158497445,16.080393158497436,4.280393158497439,4.280393158497439,V,4.280393158497439,V
La Joya,Mexico,19.0295,-96.156,42.0,48.071915795746996,41.928084204253004,27.928084204253004,24.128084204253007,16.028084204253,4.228084204253001,4.228084204253001,V,4.228084204253001,V
Chogha Zanbil,Iran,32.009,48.5215,-44.5,48.56937073027336,41.43062926972664,27.430629269726637,23.63062926972664,15.530629269726631,3.7306292697266343,3.7306292697266343,V,3.7306292697266343,V
Nohmul pyramid,Belize,18.2174,-88.5847,38.0,48.721874655726026,41.278125344273974,27.278125344273974,23.478125344273977,15.378125344273968,3.578125344273971,3.578125344273971,V,3.578125344273971,V
Chan-Chan,Peru,-8.1165,-79.0765,23.0,48.7240518544033,41.2759481455967,27.2759481455967,23.475948145596703,15.375948145596695,3.5759481455966977,3.5759481455966977,V,3.5759481455966977,V
Tenam Puente,Mexico,16.1415,-92.1047,38.0,48.91456794346105,41.08543205653895,27.08543205653895,23.28543205653895,15.185432056538943,3.3854320565389457,3.3854320565389457,V,3.3854320565389457,V
Sawran,Kazakhstan,43.5172,67.7708,-39.0,48.88293288290034,41.11706711709966,27.11706711709966,23.31706711709966,15.217067117099653,3.4170671170996556,3.4170671170996556,V,3.4170671170996556,V
Raqch'i,Peru,-14.1757,-71.3706,17.0,49.14919299906112,40.85080700093888,26.85080700093888,23.05080700093888,14.950807000938873,3.150807000938876,3.150807000938876,V,3.150807000938876,V
Iximche',Guatemala,14.7358,-90.9962,36.0,49.63142179190238,40.36857820809762,26.368578208097617,22.56857820809762,14.468578208097611,2.668578208097614,2.668578208097614,V,2.668578208097614,V
Caral,Peru,-10.8901,-77.5225,21.0,49.65864870564208,40.34135129435792,26.34135129435792,22.541351294357924,14.441351294357915,2.641351294357918,2.641351294357918,V,2.641351294357918,V
Caral,Peru,-10.8935,-77.5194,21.0,49.65464418566782,40.34535581433218,26.34535581433218,22.545355814332183,14.445355814332174,2.645355814332177,2.645355814332177,V,2.645355814332177,V
Jebel Barkal,Sudan,18.5381,31.823,-43.0,49.585939035217656,40.414060964782344,26.414060964782344,22.614060964782347,14.514060964782338,2.714060964782341,2.714060964782341,V,2.714060964782341,V
Ramesseum,Egypt,25.728,32.61,-45.0,49.67860111979024,40.32139888020976,26.321398880209763,22.521398880209766,14.421398880209757,2.6213988802097603,2.6213988802097603,V,2.6213988802097603,V
El Tajín,Mexico,20.4495,-97.3772,41.0,49.782529923737556,40.217470076262444,26.217470076262444,22.417470076262447,14.317470076262438,2.517470076262441,2.517470076262441,V,2.517470076262441,V
El Paraiso,Peru,-11.9531,-77.11865,20.5,49.825669930935945,40.174330069064055,26.174330069064055,22.374330069064058,14.27433006906405,2.4743300690640524,2.4743300690640524,V,2.4743300690640524,V
Abydos,Egypt,26.1864,31.9163,-45.0,49.90285671452496,40.09714328547504,26.097143285475042,22.297143285475045,14.197143285475036,2.397143285475039,2.397143285475039,V,2.397143285475039,V
Borsippa,Iraq,32.3918,44.3413,-44.5,49.92949226682806,40.07050773317194,26.070507733171937,22.27050773317194,14.170507733171931,2.3705077331719338,2.3705077331719338,V,2.3705077331719338,V
La Quemada ,Mexico,22.4588,-102.8226,43.0,49.99766892562795,40.00233107437205,26.00233107437205,22.202331074372054,14.102331074372046,2.3023310743720486,2.3023310743720486,V,2.3023310743720486,V
Temple of Athribis,Egypt,26.53,31.63,-45.0,50.046197295435036,39.953802704564964,25.953802704564964,22.153802704564967,14.053802704564959,2.2538027045649613,2.2538027045649613,V,2.2538027045649613,V
Zaculeu,Guatemala,15.3336,-91.4934,36.0,50.061681975917,39.938318024083,25.938318024083003,22.138318024083006,14.038318024082997,2.238318024083,2.238318024083,V,2.238318024083,V
Temple of Luxor,Egypt,25.7005,32.6399,-44.5,50.12372104206453,39.87627895793547,25.87627895793547,22.07627895793547,13.976278957935463,2.176278957935466,2.176278957935466,V,2.176278957935466,V
Tzintzuntzan,Mexico,19.624,-101.574,41.0,50.22134330679734,39.77865669320266,25.778656693202663,21.978656693202666,13.878656693202657,2.07865669320266,2.07865669320266,V,2.07865669320266,V
Cantona,Mexico,19.5539,-97.4892,40.0,50.21227720445162,39.78772279554838,25.787722795548383,21.987722795548386,13.887722795548378,2.0877227955483804,2.0877227955483804,V,2.0877227955483804,V
Sawran,Kazakhstan,43.5177,67.7703,-38.0,50.241532932710655,39.758467067289345,25.758467067289345,21.958467067289348,13.85846706728934,2.0584670672893424,2.0584670672893424,V,2.0584670672893424,V
Cobá,Mexico,20.496,-87.7205,37.0,50.33695092909143,39.66304907090857,25.66304907090857,21.863049070908573,13.763049070908565,1.9630490709085677,1.9630490709085677,V,1.9630490709085677,V
Lagartero,Mexico,15.8284,-91.8834,36.0,50.40485100204177,39.59514899795823,25.595148997958233,21.795148997958236,13.695148997958228,1.8951489979582306,1.8951489979582306,V,1.8951489979582306,V
Nuzi (Sumer),Iraq,35.37,44.255,-45.0,50.409860230796724,39.590139769203276,25.590139769203276,21.79013976920328,13.69013976920327,1.890139769203273,1.890139769203273,V,1.890139769203273,V
Estakhr,Iran,29.9795,52.9092,-41.0,50.37174434976697,39.62825565023303,25.62825565023303,21.828255650233032,13.728255650233024,1.9282556502330266,1.9282556502330266,V,1.9282556502330266,V
El Tajín,Mexico,20.4496,-97.3751,40.0,50.58021877946939,39.41978122053061,25.41978122053061,21.619781220530612,13.519781220530604,1.7197812205306064,1.7197812205306064,V,1.7197812205306064,V
