SITE NAME,COUNTRY,LAT,LON,BEARING,block
Yaxchilan,Mexico,16.9001,-90.9675,43.5,Americas
Preah Khan of Kompong Svay,Cambodia,13.1925,104.9008,-22.0,Oceania/SE Asia
Labna,Mexico,20.1712,-89.5789,45.0,Americas
Pando,Peru,-10.8558,-77.5734,24.0,Americas
Cerro Colorado,Peru,-10.8705,-77.5297,24.0,Americas
Caral,Peru,-10.8896,-77.52355,24.0,Americas
Caral,Peru,-10.89095,-77.52063,24.0,Americas
Caral,Peru,-10.89221,-77.51908,24.0,Americas
Xelha,Mexico,20.323,-87.3702,44.0,Americas
Mixco Viejo,Mexico,14.8742,-90.6628,41.0,Americas
Pucará de Tilcara,Argentina,-23.586,-65.404,14.0,Americas
Caral,Peru,-10.8887,-77.5272,23.5,Americas
Caral,Peru,-10.88985,-77.5228,23.5,Americas
Tenam Puente,Mexico,16.1414,-92.1053,41.0,Americas
Mundigak,Afghanistan,31.9063,65.498,-40.0,South Asia
Chankillo,Peru,-9.5647,-78.2262,23.0,Americas
Lamanai,Belize,17.7695,-88.6498,39.0,Americas
Acozac,Mexico,19.3296,-98.8897,43.0,Americas
Pyramids of Cochasqui,Ecuador,0.0546,-78.306,25.0,Americas
Caral,Peru,-10.89125,-77.53235,22.0,Americas
Caral,Peru,-10.8935,-77.5204,22.0,Americas
Temples of Bagan (small cluster),Myanmar,21.1823,94.878,-25.0,South Asia
La Joya,Mexico,19.0295,-96.156,42.0,Americas
Chogha Zanbil,Iran,32.009,48.5215,-44.5,Middle East
Nohmul pyramid,Belize,18.2174,-88.5847,38.0,Americas
Chan-Chan,Peru,-8.1165,-79.0765,23.0,Americas
Tenam Puente,Mexico,16.1415,-92.1047,38.0,Americas
Sawran,Kazakhstan,43.5172,67.7708,-39.0,Other
Raqch'i,Peru,-14.1757,-71.3706,17.0,Americas
Iximche',Guatemala,14.7358,-90.9962,36.0,Americas
Caral,Peru,-10.8901,-77.5225,21.0,Americas
Caral,Peru,-10.8935,-77.5194,21.0,Americas
Jebel Barkal,Sudan,18.5381,31.823,-43.0,Middle East
Ramesseum,Egypt,25.728,32.61,-45.0,Middle East
El Tajín,Mexico,20.4495,-97.3772,41.0,Americas
El Paraiso,Peru,-11.9531,-77.11865,20.5,Americas
Abydos,Egypt,26.1864,31.9163,-45.0,Middle East
Borsippa,Iraq,32.3918,44.3413,-44.5,Middle East
La Quemada ,Mexico,22.4588,-102.8226,43.0,Americas
Temple of Athribis,Egypt,26.53,31.63,-45.0,Middle East
Zaculeu,Guatemala,15.3336,-91.4934,36.0,Americas
Temple of Luxor,Egypt,25.7005,32.6399,-44.5,Middle East
Tzintzuntzan,Mexico,19.624,-101.574,41.0,Americas
Cantona,Mexico,19.5539,-97.4892,40.0,Americas
Sawran,Kazakhstan,43.5177,67.7703,-38.0,Other
Cobá,Mexico,20.496,-87.7205,37.0,Americas
Lagartero,Mexico,15.8284,-91.8834,36.0,Americas
