SITE NAME,COUNTRY,LAT,LON,BEARING,block
Uxmal,Mexico,20.3595,-89.7711,19.0,Americas
Kabah,Mexico,20.2487,-89.6466,19.0,Americas
Mayapan,Mexico,20.6298,-89.4614,19.0,Americas
Xochicalco,Mexico,18.8056,-99.2963,21.0,Americas
Palenque,Mexico,17.4841,-92.0462,19.0,Americas
Bauda,Syria,35.6712,36.5694,-28.0,Middle East
Volubilis,Morocco,34.0747,-5.5552,-23.0,Europe-Med
Unknown temple near Euromus,Turkey,37.3773,27.6702,-29.0,Europe-Med
Torre de Palma,Portugal,39.0619,-7.4893,-25.0,Europe-Med
Unknown Ruin at Assur,Iraq,35.4591,43.2602,-27.0,Middle East
Izapa,Mexico,14.9233,-92.1801,18.0,Americas
Kanlidivane,Turkey,36.5231,34.1233,-28.0,Middle East
Olympos,Turkey,36.3966,30.473,-28.0,Middle East
Heraclea,Macedonia,41.0116,21.3425,-30.0,Europe-Med
Vilamoura,Portugal,37.08,-8.1204,-23.0,Europe-Med
El Tazumal,El Salvador,13.979,-89.674,17.0,Americas
Chichen Itza,Mexico,20.681,-88.57,18.0,Americas
Xlapak,Mexico,20.1744,-89.6091,18.0,Americas
Dainzu,Mexico,17.0038,-96.557,19.0,Americas
Dzibilchaltun,Mexico,21.091,-89.59,18.0,Americas
Dura Europos,Syria,34.7498,40.7289,-26.0,Middle East
Dzibanche,Mexico,18.6384,-88.7587,17.0,Americas
Leptis Magna,Libya,32.6375,14.2943,-25.0,Europe-Med
Myra,Turkey,36.2591,29.9852,-27.0,Europe-Med
Elephantine Pyramid,Egypt,24.0856,32.8855,-15.0,Middle East
Eshnunna (Sumer),Iraq,33.484,44.728,-25.0,Middle East
Temples of Bagan (medium cluster),Myanmar,21.1834,94.8919,-13.0,South Asia
Chichen Itza,Mexico,20.681,-88.57,17.0,Americas
Antipatris,Israel,32.105,34.93,-25.0,Middle East
Pisões,Portugal,37.9978,-7.9494,-22.0,Europe-Med
Pella,Jordan,32.4505,35.6178,-25.0,Middle East
Ceibal,Guatemala,16.5136,-90.0613,16.5,Americas
Cerro del Gentil,Peru,-13.4949,-76.0374,10.0,Americas
Edzna,Mexico,19.5958,-90.2297,17.0,Americas
Uxmal,Mexico,20.3614,-89.771,17.0,Americas
Motya,Sicily,37.8695,12.4652,-26.0,Europe-Med
Dainzu,Mexico,17.0033,-96.5577,18.0,Americas
Kanheri,India,19.2084,72.9058,-18.0,South Asia
Teishibaini palace,Turkey,40.1537,44.4461,-26.0,Middle East
La Quemada ,Mexico,22.4573,-102.8217,20.0,Americas
Holmul,Guatemala,17.3103,-89.2592,16.0,Americas
Túcume,Peru,-6.5121,-79.8394,11.0,Americas
Usnu,Peru,-13.6526,-73.9555,9.0,Americas
Ajlun Castle,Jordan,32.3252,35.7273,-24.0,Middle East
Becan,Mexico,18.516,-89.4665,16.0,Americas
Cástulo,Spain,38.0359,-3.6236,-22.0,Europe-Med
Fortress of Hayk,Turkey,38.3527,43.4602,-25.0,Middle East
Chichen Itza,Mexico,20.681,-88.57,16.0,Americas
Tabasqueno,Mexico,19.5004,-89.7837,16.0,Americas
Karanis,Turkey,29.5177,30.9033,-23.0,Middle East
Koshoy Korgon,Kyrgyzstan,41.123,75.7,-19.0,Other
Chaco Canyon,USA,36.06,-107.97,24.0,Americas
Labna,Mexico,20.171,-89.5786,16.0,Americas
Assos,Turkey,39.4905,26.3369,-26.0,Europe-Med
Teotenango,Mexico,19.1075,-99.5968,18.0,Americas
Pomona,Mexico,17.4849,-91.5705,16.0,Americas
Edzna,Mexico,19.5981,-90.2304,16.0,Americas
Mayapan (close by),Mexico,20.6344,-89.4433,16.0,Americas
Anahit Temple,Turkey,40.0812,44.0345,-25.0,Middle East
Vilares,Portugal,38.7304,-9.4438,-20.0,Europe-Med
Tula,Mexico,20.0643,-99.341,18.0,Americas
Altun Ha,Belize,17.7643,-88.3478,15.0,Americas
El Tajín,Mexico,20.4474,-97.3787,17.5,Americas
Antipatris,Israel,32.1056,34.9309,-23.0,Middle East
Chacchoben,Mexico,19.0017,-88.2336,15.0,Americas
Comalcalco,Mexico,18.2797,-93.2014,16.0,Americas
Dzibanche,Mexico,18.6385,-88.7578,15.0,Americas
Dzibilchaltun,Mexico,21.0911,-89.5979,15.5,Americas
Serapeum at Alexandria,Egypt,31.1821,29.89625,-22.5,Europe-Med
Torre de Palma,Portugal,39.0622,-7.4885,-20.0,Europe-Med
Calakmul,Mexico,18.1067,-89.8116,15.0,Americas
Pompeii,Italy,40.7492,14.4844,-25.0,Europe-Med
Izapa,Mexico,14.9239,-92.1797,15.0,Americas
Chichen Itza,Mexico,20.681,-88.57,15.0,Americas
Nineveh Temple (Sumer),Iraq,36.359,43.153,-23.0,Middle East
Fortress of Hayk,Turkey,38.3533,43.4613,-23.5,Middle East
Tomb of Empress Li,China,34.34,108.562,-8.0,East Asia
Tomb of Emperor Wu of Han,China,34.338,108.57,-8.0,East Asia
Tomb of Empress Shangguan,China,34.363,108.631,-8.0,East Asia
Tomb of Emperor Zhao of Han,China,34.362,108.64,-8.0,East Asia
Chacmultun,Mexico,20.172,-89.3443,15.0,Americas
Roma Havuzu Kosk,Turkey,37.8471,34.6109,-24.0,Middle East
Guachimontones,Mexico,20.6954,-103.8384,18.0,Americas
Guachimontones,Mexico,20.6948,-103.8362,18.0,Americas
Teotenango,Mexico,19.1077,-99.5962,17.0,Americas
Tenayuca,Mexico,19.532,-99.168,17.0,Americas
El Tigre,Mexico,18.1205,-90.8371,15.0,Americas
Kabah,Mexico,20.2488,-89.6487,15.0,Americas
Izamal,Mexico,20.9373,-89.0166,15.0,Americas
Belevi Mausoleum,Turkey,38.0146,27.472,-24.0,Europe-Med
Palenque,Mexico,17.4841,-92.0462,15.0,Americas
Mayapan,Mexico,20.6304,-89.4602,15.0,Americas
Xcambo,Mexico,21.3131,-89.3539,15.0,Americas
Delphi,Greece,38.4823,22.5013,-24.0,Europe-Med
Unknown Chinese Pyramid,China,34.571,108.266,-8.0,East Asia
Moral Reforma,Mexico,17.768,-91.2995,14.0,Americas
Huaca Bandera,Peru,-6.4064,-79.8995,10.0,Americas
Túcume,Peru,-6.5175,-79.8446,10.0,Americas
Pella,Jordan,32.4505,35.6146,-22.0,Middle East
Ajlun Castle,Jordan,32.3252,35.7273,-22.0,Middle East
Calakmul,Mexico,18.1067,-89.8116,14.5,Americas
Carnac,France,47.595,-3.0742,-25.0,Europe-Med
Mehrgarh,Pakistan,29.3833,67.614,-18.0,South Asia
Vilamoura,Portugal,37.0803,-8.1209,-18.0,Europe-Med
Chacchoben,Mexico,19.0013,-88.2304,14.0,Americas
Elephantin Island,Egypt,24.0845,32.8861,-20.0,Middle East
Sawran,Kazakhstan,43.518,67.7743,-20.0,Other
Tula,Mexico,20.0642,-99.3404,16.5,Americas
Mixco Viejo,Mexico,14.8728,-90.6641,14.0,Americas
Sayil,Mexico,20.178,-89.6525,14.5,Americas
Kabah,Mexico,20.2481,-89.6467,14.5,Americas
Anahit Temple,Turkey,40.081,44.034,-23.0,Middle East
Temple of Zeus Euromus,Turkey,37.3741,27.6751,-23.0,Europe-Med
Lol,Algeria,36.6054,2.1905,-20.0,Europe-Med
Priene,Greece,37.6598,27.2978,-23.0,Europe-Med
Avdat,Israel,30.7971,34.7756,-21.0,Middle East
Babylon,Iraq,32.536,44.4268,-21.0,Middle East
Era de Pando,Peru,-10.8431,-77.5966,9.0,Americas
Temples of Bagan (medium cluster),Myanmar,21.1839,94.8819,-11.0,South Asia
Xochicalco,Mexico,18.8046,-99.2964,16.0,Americas
Chichen Itza,Mexico,20.681,-88.57,14.0,Americas
Micia,Romania,45.9151,22.8158,-26.0,Europe-Med
Itzamkanac,Mexico,18.1205,-90.837,14.0,Americas
Tabasqueno,Mexico,19.4999,-89.784,14.0,Americas
Mayapan (close by),Mexico,20.6348,-89.4431,14.0,Americas
Chacmultun,Mexico,20.1701,-89.3448,14.0,Americas
Cihuatan,El Salvador,13.9806,-89.1642,13.0,Americas
Palenque,Mexico,17.4841,-92.0462,14.0,Americas
Oxkintok,Mexico,20.5618,-89.9528,14.0,Americas
Dzibilchaltun,Mexico,21.091,-89.59,14.0,Americas
Copán,Honduras,14.8415,-89.1421,13.0,Americas
Mount Nemrut,Turkey,37.9812,38.7416,-22.0,Middle East
Unknown Ruin at Assur,Iraq,35.4536,43.2656,-21.0,Middle East
Persepolis,Iran,29.9352,52.8896,-19.0,Middle East
Calakmul,Mexico,18.1067,-89.8116,13.5,Americas
Casa Blanca,El Salvador,13.9894,-89.6725,13.0,Americas
Qasr el-Sagha,Egypt,29.5951,30.6779,-20.0,Middle East
Temple of Isis 3,Egypt,24.0262,32.8846,-19.0,Middle East
Teishibaini palace,Turkey,40.1531,44.4529,-22.0,Middle East
Freiria,Portugal,38.7211,-9.3232,-17.0,Europe-Med
Teotihuacan,Mexico,19.692,-98.844,15.5,Americas
Quiahuiztlán,Mexico,19.6698,-96.4157,15.0,Americas
Cahuachi,Peru,-14.818,-75.1145,8.0,Americas
Tula,Mexico,20.0635,-99.3421,15.5,Americas
Cástulo,Spain,38.0372,-3.6245,-18.0,Europe-Med
Tanis,Egypt,30.9748,31.8808,-20.0,Middle East
Kanheri,India,19.2084,72.9058,-15.0,South Asia
Cantona,Mexico,19.5515,-97.4857,15.0,Americas
Comalcalco,Mexico,18.28,-93.2018,14.0,Americas
Moral Reforma,Mexico,17.7684,-91.2985,13.5,Americas
Mixco Viejo,Mexico,14.8743,-90.6625,13.0,Americas
Edzna,Mexico,19.597,-90.229,13.5,Americas
Kabah,Mexico,20.2489,-89.6438,13.5,Americas
Labna,Mexico,20.1712,-89.5783,13.5,Americas
Labna,Mexico,20.1723,-89.5774,13.0,Americas
Buto,Egypt,31.1965,30.7447,-20.0,Middle East
Beit Guvrin,Israel,31.6083,34.8947,-20.0,Middle East
Koh Kor ,Cambodia,13.7787,104.5395,-8.0,Oceania/SE Asia
El Tajín,Mexico,20.4457,-97.3771,15.0,Americas
Dzibilchaltun,Mexico,21.0911,-89.5899,13.5,Americas
Xcambo,Mexico,21.3138,-89.3539,13.5,Americas
Timgad,Algeria,35.4835,6.4664,-19.0,Europe-Med
Pompeii,Italy,40.7485,14.4837,-22.0,Europe-Med
Q'umarkaj,Guatemala,15.0233,-91.1717,13.0,Americas
Xpuhil,Mexico,18.5107,-89.4065,13.0,Americas
Naveta d'Es Tudons,Menorca,40.0031,3.8916,-20.0,Europe-Med
Xochicalco,Mexico,18.805,-99.2974,15.0,Americas
Chicanná,Mexico,18.506,-89.4853,13.0,Americas
Becan,Mexico,18.5165,-89.46685,13.0,Americas
Túcume,Peru,-6.5107,-79.8393,9.0,Americas
Pomac Forest,Peru,-6.4659,-79.7975,9.0,Americas
Saint-Michel tumulus,France,47.588,-3.073,-17.5,Europe-Med
Tel Dan,Israel,33.2496,35.6518,-20.0,Middle East
Teotenango,Mexico,19.1084,-99.596,15.0,Americas
Tula,Mexico,20.0652,-99.3401,15.0,Americas
Yaxchilan,Mexico,16.8993,-90.9655,13.0,Americas
Dzibilnocac,Mexico,19.578,-89.5948,13.0,Americas
Chichen Itza,Mexico,20.681,-88.57,13.0,Americas
Cerro Sechin,Peru,-9.4808,-78.2589,8.5,Americas
Sechin Alto,Peru,-9.4807,-78.2589,8.5,Americas
Sechin Alto,Peru,-9.4824,-78.2529,8.5,Americas
Meenakshi Temple,India,9.9195,78.1193,-13.5,South Asia
Kabah,Mexico,20.248,-89.6473,13.0,Americas
Xcambo,Mexico,21.3135,-89.3537,13.0,Americas
Palenque,Mexico,17.4841,-92.0462,13.0,Americas
Temples of Bagan (small cluster),Myanmar,21.1809,94.8824,-10.0,South Asia
El Chanal,Mexico,19.2928,-103.7048,15.0,Americas
El Rey,Mexico,21.0619,-86.7814,12.0,Americas
Yaxha,Guatemala,17.0707,-89.4,12.0,Americas
Ceibal,Guatemala,16.5136,-90.0613,12.0,Americas
Tikal,Guatemala,17.222,-89.6276,12.0,Americas
Motya,Sicily,37.8701,12.4668,-19.0,Europe-Med
Karanis,Turkey,29.5177,30.9033,-18.0,Middle East
Butrint,Albania,39.7455,20.0205,-20.0,Europe-Med
Kabah,Mexico,20.2484,-89.6464,12.0,Americas
Mayapan,Mexico,20.6293,-89.4603,12.0,Americas
Caracol,Belize,16.764,-89.1176,11.5,Americas
Cosa,Italy,42.4109,11.2863,-20.0,Europe-Med
La Quemada ,Mexico,22.4552,-102.821,14.5,Americas
Uxmal,Mexico,20.3601,-89.771,12.0,Americas
Acanceh,Mexico,20.8133,-89.4524,12.0,Americas
Karaböcülü Harabeleri,Turkey,36.4541,33.9156,-19.0,Middle East
Kanlidivane,Turkey,36.5231,34.1233,-19.0,Middle East
Cempoala,Mexico,19.447,-96.4056,13.0,Americas
Palenque,Mexico,17.4841,-92.0462,12.0,Americas
Tikal,Guatemala,17.2222,-89.6242,11.5,Americas
Ayanis temple,Turkey,38.7083,43.21155,-19.0,Middle East
Fortress of Hayk,Turkey,38.3522,43.4576,-19.0,Middle East
Tula,Mexico,20.0633,-99.3404,13.5,Americas
Becan,Mexico,18.5164,-89.4661,11.5,Americas
Cahuachi,Peru,-14.8183,-75.1165,7.0,Americas
Calakmul,Mexico,18.1067,-89.8116,11.5,Americas
Guachimontones,Mexico,20.6955,-103.838,14.0,Americas
El Tajín,Mexico,20.4452,-97.3777,13.0,Americas
Rockwall,USA,32.931,-96.46,15.0,Americas
Lubaantun,Belize,16.282,-88.9593,11.0,Americas
Carnac,France,47.5925,-3.083,-18.5,Europe-Med
Karanis,Turkey,29.5177,30.9033,-17.0,Middle East
Garni temple,Armenia,40.1124,44.7303,-19.0,Middle East
Lamanai,Belize,17.7679,-88.6527,11.0,Americas
Altun Ha,Belize,17.7646,-88.348,11.0,Americas
Tell al-Rimah (Taya),Iraq,36.2596,42.4516,-18.0,Middle East
Teotenango,Mexico,19.1088,-99.5982,13.0,Americas
Mixco Viejo,Mexico,14.8724,-90.6638,11.0,Americas
Kohunlich,Mexico,18.4178,-88.7907,11.0,Americas
Kinichná,Mexico,18.6609,-88.7674,11.0,Americas
La Centinela,Peru,-13.451,-76.17,7.0,Americas
Babylon New,Iraq,32.5422,44.4211,-17.0,Middle East
Tikal,Guatemala,17.2191,-89.62,11.0,Americas
Calca,Peru,-13.4142,-71.8439,6.0,Americas
Temples of Bagan (small cluster),Myanmar,21.1807,94.8957,-9.0,South Asia
Becan,Mexico,18.518,-89.468,11.0,Americas
Ek' Balam,Mexico,20.8907,-88.13605,11.0,Americas
Big Qırq Qız Qala,Oezbekistan,42.008,61.1576,-17.0,Other
Lothal,India,22.5237,72.2485,-13.0,South Asia
Qasr al-Abd,Jordan,31.9128,35.7518,-17.0,Middle East
Calakmul,Mexico,18.1067,-89.8116,11.0,Americas
Chichen Itza,Mexico,20.681,-88.57,11.0,Americas
Conímbriga,Portugal,40.098,-8.495,-14.0,Europe-Med
Temple of Belur,India,13.1629,75.8604,-12.0,South Asia
Hampi,India,15.3325,76.4596,-12.0,South Asia
El Tajín,Mexico,20.4479,-97.3772,12.5,Americas
Monte Albán,Mexico,17.0468,-96.7637,12.0,Americas
Yaxchilan,Mexico,16.8992,-90.96545,11.0,Americas
Acropolis,Greece,37.9703,23.7278,-18.0,Europe-Med
Uxmal,Mexico,20.3586,-89.7727,11.0,Americas
Volubilis,Morocco,34.0736,-5.5554,-13.0,Europe-Med
Quiahuiztlán,Mexico,19.6696,-96.4145,12.0,Americas
Cempoala,Mexico,19.4466,-96.4056,12.0,Americas
Moral Reforma,Mexico,17.7705,-91.2977,11.0,Americas
Dzibilchaltun,Mexico,21.0913,-89.5978,11.0,Americas
Xcambo,Mexico,21.3136,-89.354,11.0,Americas
Palenque,Mexico,17.4841,-92.0462,11.0,Americas
Karanis,Turkey,29.5177,30.9033,-16.0,Middle East
Micia,Romania,45.9151,22.8163,-20.0,Europe-Med
El Tajín,Mexico,20.4479,-97.3772,12.0,Americas
Pallka,Peru,-9.5376,-77.9943,7.0,Americas
Babylon,Iraq,32.5363,44.4208,-16.0,Middle East
Tourega,Portugal,38.5019,-8.0282,-13.0,Europe-Med
Teotenango,Mexico,19.1097,-99.599,12.0,Americas
Xochicalco,Mexico,18.804,-99.2955,12.0,Americas
Cerro de la Estrella,Mexico,19.3438,-99.0898,12.0,Americas
Casa Blanca,El Salvador,13.9884,-89.6732,10.0,Americas
Sechin Alto,Peru,-9.4838,-78.2599,7.0,Americas
Eshnunna (Sumer),Iraq,33.484,44.728,-16.0,Middle East
Ka'ba-ye Zartosht,Iran,29.9885,52.874,-15.0,Middle East
Pompeii,Italy,40.7494,14.4855,-17.0,Europe-Med
Belevi Mausoleum,Turkey,38.0148,27.4716,-17.0,Europe-Med
Little Kyz Kala,Turkmenistan,37.6534,62.1528,-15.0,South Asia
Kohunlich,Mexico,18.4193,-88.7916,10.0,Americas
Hermopolis,Egypt,27.7815,30.8041,-15.0,Middle East
Sidon Sea Castle,Lebanon,33.5671,35.371,-16.0,Middle East
Mitla,Mexico,16.927,-96.3595,11.0,Americas
Becan,Mexico,18.5167,-89.4664,10.0,Americas
Dougga,Tunesia,36.4222,9.2183,-15.0,Europe-Med
Niha,Lebanon,33.8947,35.9624,-16.0,Middle East
El Mirador,Guatemala,17.756,-89.921,10.0,Americas
Nadzcaán,Mexico,18.6065,-89.8462,10.0,Americas
Chichen Itza,Mexico,20.681,-88.57,10.0,Americas
Cahuachi,Peru,-14.8188,-75.1166,6.0,Americas
Lyrbe,Turkey,36.8739,31.4753,-16.5,Middle East
Hosn Suleiman,Syria,34.9305,36.2453,-16.0,Middle East
Dzibilchaltun,Mexico,21.0907,-89.5966,7.0,Americas
Chacmultun,Mexico,20.1693,-89.3391,10.0,Americas
Prasat Phum Prasat,Cambodia,12.55,105.073,-6.0,Oceania/SE Asia
Moral Reforma,Mexico,17.769,-91.2984,10.0,Americas
Uxmal,Mexico,20.3608,-89.7696,10.0,Americas
Labna,Mexico,20.1714,-89.5788,10.0,Americas
Mayapan,Mexico,20.6295,-89.4598,10.0,Americas
Ake,Mexico,20.9475,-89.2995,10.0,Americas
Temple of Osiris at Abusir,Egypt,30.9462,29.5186,-15.0,Europe-Med
Temple of Thoth,Egypt,27.7828,30.8015,-14.5,Middle East
Tell Brak (Sumer),Iraq,36.6673,41.0602,-16.0,Middle East
Zabala (Sumer),Iraq,31.7443,45.8731,-15.0,Middle East
Oxkintok,Mexico,20.5612,-89.9521,10.0,Americas
Niha Temple,Lebanon,33.8947,35.9636,-15.5,Middle East
Temples of Bagan (very large cluster),Myanmar,21.1854,94.8821,-8.0,South Asia
Cantona,Mexico,19.5521,-97.4875,11.0,Americas
Palenque,Mexico,17.4841,-92.0462,10.0,Americas
Tikal,Guatemala,17.222,-89.623,9.5,Americas
Dragon Houses Euboea,Greece,38.1528,24.2635,-16.0,Europe-Med
Mangup Kale,Crimea,44.5928,33.8009,-18.0,Middle East
Fortress of Hayk,Turkey,38.3524,43.4594,-16.0,Middle East
Aukana Buddha Temple,Sri Lanka,8.011,80.513,-10.0,South Asia
Cacaxtla,Mexico,19.2451,-98.3508,11.0,Americas
Agrigento,Italy,37.2898,13.5905,-15.0,Europe-Med
Banteay Samré,Cambodia,13.442,103.959,-6.0,Oceania/SE Asia
Hosn Hiha Temple ,Lebanon,33.9073,35.9484,-15.0,Middle East
Takht-e Soleymān,Iran,36.605,47.235,-15.0,Middle East
Prison of Solomon,Iran,36.6052,47.2347,-15.0,Middle East
Monte Albán,Mexico,17.0458,-96.7676,10.0,Americas
Fortress of Hayk,Turkey,38.3542,43.4654,-15.0,Middle East
Vindolanda,England,54.9911,-2.3601,-18.0,Europe-Med
Micia,Romania,45.9153,22.8162,-17.0,Europe-Med
Pella,Jordan,32.4503,35.6137,-14.0,Middle East
Mount of Cannae,Italy,41.2966,16.1514,-15.0,Europe-Med
Great Pyramid of Cholula,Mexico,19.0562,-98.3028,10.0,Americas
El Tajín,Mexico,20.4463,-97.377,9.5,Americas
Baalbek,Lebanon,34.007,36.2045,-15.0,Middle East
Tlatelolco,Mexico,19.4512,-99.1374,10.0,Americas
Iraq al-Amir,Jordan,31.9128,35.7519,-13.5,Middle East
Soleb,Sudan,20.4363,30.3341,-12.0,Middle East
Volubilis,Morocco,34.073,-5.5551,-10.0,Europe-Med
Baalbek,Lebanon,34.007,36.204,-13.5,Middle East
Agrigento,Italy,37.291,13.5814,-13.0,Europe-Med
Temples of Bagan (small cluster),Myanmar,21.1779,94.8747,-7.0,South Asia
Oxkintok,Mexico,20.5613,-89.9527,8.5,Americas
Puma Punku,Bolivia,-16.5615,-68.68,4.0,Americas
Assos,Turkey,39.4882,26.3378,-14.0,Europe-Med
Alampur temples,India,15.8773,78.1353,-9.0,South Asia
Monte Alban,Mexico,17.0447,-96.7676,9.0,Americas
Yaxha,Guatemala,17.0758,-89.4025,8.0,Americas
Ceibal,Guatemala,16.5136,-90.0613,8.0,Americas
Xpuhil,Mexico,18.5107,-89.4065,8.0,Americas
Ek' Balam,Mexico,20.891,-88.13628,8.0,Americas
Chichen Itza,Mexico,20.681,-88.57,8.0,Americas
El Tajín,Mexico,20.4465,-97.3775,9.0,Americas
Karanis,Turkey,29.5177,30.9033,-12.0,Middle East
Moral Reforma,Mexico,17.769,-91.296,8.0,Americas
Dzibilchaltun,Mexico,21.0904,-89.5974,8.0,Americas
Pompeii,Italy,40.75,14.4845,-13.0,Europe-Med
Teti I Pyramid,Egypt,29.8756,31.2217,-12.0,Middle East
Agrigento,Italy,37.2908,13.5842,-12.0,Europe-Med
Banteay Kdei,Cambodia,13.43,103.898,-5.0,Oceania/SE Asia
Babylon,Iraq,32.5446,44.4219,-12.0,Middle East
Era de Pando,Peru,-10.8416,-77.5971,5.0,Americas
Kom Ombo temple,Egypt,24.453,32.9277,-11.0,Middle East
Fraqra,Lebanon,34.0016,35.8052,-12.0,Middle East
Qsarnaba Temple,Lebanon,33.9133,35.9906,-12.0,Middle East
Vila Cardílio,Portugal,39.4529,-8.528,-9.0,Europe-Med
La Quemada ,Mexico,22.4572,-102.821,9.0,Americas
Monte Albán,Mexico,17.0455,-96.7674,8.0,Americas
Sahyun Castle,Syria,35.5958,36.0572,-12.0,Middle East
Cempoala,Mexico,19.4474,-96.4054,8.0,Americas
Calca,Peru,-13.4142,-71.8439,4.0,Americas
Al-Ukhdud,Saudi-Arabia,17.4776,44.1799,-10.0,Middle East
Ceibal,Guatemala,16.5136,-90.0613,7.0,Americas
Tiwanaku,Bolivia,-16.5614,-68.6798,3.5,Americas
Temples of Bagan (large cluster),Myanmar,21.178,94.8751,-6.0,South Asia
Puma Punku,Bolivia,-16.5615,-68.68,3.5,Americas
"Durga temple, Aihole",India,16.0206,75.8819,-8.0,South Asia
Pomac Forest,Peru,-6.4709,-79.7922,7.0,Americas
Jerusalem,Israel,31.7764,35.235,-11.0,Middle East
Tlatelolco,Mexico,19.4512,-99.1377,8.0,Americas
Volubilis,Morocco,34.0731,-5.5546,-8.0,Europe-Med
Philippi,Greece,41.0128,24.2866,-12.0,Europe-Med
Bubastis,Egypt,30.5751,31.5144,-10.5,Middle East
Kohunlich,Mexico,18.419,-88.7906,6.5,Americas
Acropolis,Greece,37.9713,23.7265,-11.0,Europe-Med
Starosel Tomb,Bulgaria,42.5122,24.5469,-12.0,Europe-Med
Usnu,Peru,-13.6527,-73.955,4.0,Americas
Becan,Mexico,18.5179,-89.4664,6.5,Americas
Pyramid of Khaba,Egypt,29.9328,31.1612,-10.0,Middle East
Buried Pyramid,Egypt,29.8658,31.2132,-10.0,Middle East
Monte Albán,Mexico,17.0434,-96.769,7.0,Americas
Altun Ha,Belize,17.7638,-88.3467,6.0,Americas
Mari,Syria,34.5516,40.8875,-10.0,Middle East
El Tajín,Mexico,20.446,-97.3782,7.0,Americas
Ceibal,Guatemala,16.5136,-90.0613,6.0,Americas
Tikal,Guatemala,17.2196,-89.6259,6.0,Americas
La Centinela,Peru,-13.4512,-76.1692,4.0,Americas
Templo Mayor,Mexico,19.435,-99.1314,7.0,Americas
Nakbe,Guatemala,17.6828,-89.8331,6.0,Americas
Tamtoc,Mexico,21.9228,-98.8152,7.0,Americas
Mayapan,Mexico,20.6293,-89.4608,6.0,Americas
Hierapolis,Turkey,37.925,29.1258,-10.0,Europe-Med
Fortress of Hayk,Turkey,38.3534,43.4626,-10.0,Middle East
Temples of Bagan (medium cluster),Myanmar,21.1779,94.8746,-5.0,South Asia
Heraclea sintica,Bulgaria,41.4495,23.2625,-10.0,Europe-Med
La Quemada ,Mexico,22.4577,-102.8207,7.0,Americas
Tenochtitlan,Mexico,19.4349,-99.1314,6.5,Americas
Pomona,Mexico,17.4853,-91.57,6.0,Americas
Ake,Mexico,20.9471,-89.3006,5.5,Americas
Harappa,Pakistan,30.629,72.864,-7.0,South Asia
Calca,Peru,-13.4142,-71.8439,3.0,Americas
Micia,Romania,45.9153,22.8167,-10.0,Europe-Med
Motya,Sicily,37.8704,12.4688,-8.0,Europe-Med
Agrigento,Italy,37.2913,13.5815,-8.0,Europe-Med
Tamtoc,Mexico,21.9262,-98.8133,6.0,Americas
Nakum,Guatemala,17.176,-89.4051,5.0,Americas
Chacchoben,Mexico,19.0018,-88.2304,5.0,Americas
Ceibal,Guatemala,16.5136,-90.0613,5.0,Americas
Chichen Itza,Mexico,20.681,-88.57,5.0,Americas
Mari,Syria,34.5515,40.8884,-8.0,Middle East
Cacaxtla,Mexico,19.2449,-98.3495,5.5,Americas
Arykanda,Turkey,36.5138,30.0597,-8.0,Middle East
Temples of Bagan (small cluster),Myanmar,21.1777,94.864,-4.0,South Asia
Neak Pean,Cambodia,13.463,103.895,-3.0,Oceania/SE Asia
Eastern Mebon temple,Cambodia,13.4465,103.92,-3.0,Oceania/SE Asia
Phnom Chisor,Cambodia,11.1845,104.825,-3.0,Oceania/SE Asia
Anahit Temple,Turkey,40.081,44.0332,-8.0,Middle East
Thirukkattalai Temple,India,10.37,78.8512,-5.0,South Asia
Texcotzingo,Mexico,19.4972,-98.8176,5.0,Americas
Xochitecatl,Mexico,19.245,-98.35,5.0,Americas
Hampi,India,15.3325,76.4596,-5.0,South Asia
Nimrud,Iraq,36.1011,43.327,-7.0,Middle East
Tikal,Guatemala,17.2207,-89.628,4.0,Americas
Ixkun,Guatemala,16.5736,-89.4111,4.0,Americas
Leptis Magna,Libya,32.6352,14.2914,-6.0,Europe-Med
Chaco Canyon,USA,36.06,-107.97,6.0,Americas
Dzibilchaltun,Mexico,21.0911,-89.5909,4.0,Americas
Cacaxtla,Mexico,19.2442,-98.3507,4.5,Americas
Tiwanaku,Bolivia,-16.556,-68.6735,2.0,Americas
Puma Punku,Bolivia,-16.5558,-68.6732,2.0,Americas
Segesta (temple),Sicily,37.9415,12.8325,-6.0,Europe-Med
El Cerrito,Mexico,20.5515,-100.444,4.5,Americas
Ta Prohm,Cambodia,13.435,103.889,-2.5,Oceania/SE Asia
Monte Albán,Mexico,17.0446,-96.7683,4.0,Americas
Monte Albán,Mexico,17.0429,-96.7681,4.0,Americas
Cempoala,Mexico,19.4473,-96.4035,4.0,Americas
Ishchali,Iraq,33.3032,44.5844,-6.0,Middle East
Bandurria,Peru,-11.1871,-77.5885,2.5,Americas
Temples of Bagan (small cluster),Myanmar,21.1657,94.8626,-3.0,South Asia
Motya,Sicily,37.8702,12.4698,-5.0,Europe-Med
Tomb of Empress Fu,China,34.4026,108.772545,-2.0,East Asia
West Kennet Long Barrow,England,51.4085,-1.851,-5.0,Europe-Med
Laembesis,Algeria,35.49,6.2549,-4.0,Europe-Med
Timgad,Algeria,35.4848,6.4688,-4.0,Europe-Med
Agrigento,Italy,37.2929,13.5788,-4.0,Europe-Med
